Team #,CMP,Event,P(DCMP)
1086,2024chcmp,FIRST Chesapeake District Championship,1
1111,2024chcmp,FIRST Chesapeake District Championship,1
116,2024chcmp,FIRST Chesapeake District Championship,0
122,2024chcmp,FIRST Chesapeake District Championship,1
1262,2024chcmp,FIRST Chesapeake District Championship,1
1389,2024chcmp,FIRST Chesapeake District Championship,0
1418,2024chcmp,FIRST Chesapeake District Championship,1
1446,2024chcmp,FIRST Chesapeake District Championship,0
1522,2024chcmp,FIRST Chesapeake District Championship,0
1599,2024chcmp,FIRST Chesapeake District Championship,1
1610,2024chcmp,FIRST Chesapeake District Championship,1
1629,2024chcmp,FIRST Chesapeake District Championship,1
1719,2024chcmp,FIRST Chesapeake District Championship,1
1727,2024chcmp,FIRST Chesapeake District Championship,1
1731,2024chcmp,FIRST Chesapeake District Championship,1
1793,2024chcmp,FIRST Chesapeake District Championship,0
1885,2024chcmp,FIRST Chesapeake District Championship,0
1895,2024chcmp,FIRST Chesapeake District Championship,1
1908,2024chcmp,FIRST Chesapeake District Championship,1
1915,2024chcmp,FIRST Chesapeake District Championship,0
2028,2024chcmp,FIRST Chesapeake District Championship,0
2068,2024chcmp,FIRST Chesapeake District Championship,1
2106,2024chcmp,FIRST Chesapeake District Championship,1
2186,2024chcmp,FIRST Chesapeake District Championship,1
2199,2024chcmp,FIRST Chesapeake District Championship,1
2363,2024chcmp,FIRST Chesapeake District Championship,1
2377,2024chcmp,FIRST Chesapeake District Championship,1
2421,2024chcmp,FIRST Chesapeake District Championship,1
2534,2024chcmp,FIRST Chesapeake District Championship,0
2537,2024chcmp,FIRST Chesapeake District Championship,0
2849,2024chcmp,FIRST Chesapeake District Championship,0
2890,2024chcmp,FIRST Chesapeake District Championship,1
2900,2024chcmp,FIRST Chesapeake District Championship,0
2912,2024chcmp,FIRST Chesapeake District Championship,0
2914,2024chcmp,FIRST Chesapeake District Championship,0
2963,2024chcmp,FIRST Chesapeake District Championship,0.105552
2988,2024chcmp,FIRST Chesapeake District Championship,0
2998,2024chcmp,FIRST Chesapeake District Championship,0
3136,2024chcmp,FIRST Chesapeake District Championship,1
3359,2024chcmp,FIRST Chesapeake District Championship,0
3361,2024chcmp,FIRST Chesapeake District Championship,0
3373,2024chcmp,FIRST Chesapeake District Championship,1
339,2024chcmp,FIRST Chesapeake District Championship,0.945583
346,2024chcmp,FIRST Chesapeake District Championship,1
3748,2024chcmp,FIRST Chesapeake District Championship,0
3793,2024chcmp,FIRST Chesapeake District Championship,0
3939,2024chcmp,FIRST Chesapeake District Championship,1
401,2024chcmp,FIRST Chesapeake District Championship,1
404,2024chcmp,FIRST Chesapeake District Championship,1
4099,2024chcmp,FIRST Chesapeake District Championship,1
422,2024chcmp,FIRST Chesapeake District Championship,1
4286,2024chcmp,FIRST Chesapeake District Championship,0
4456,2024chcmp,FIRST Chesapeake District Championship,0
4464,2024chcmp,FIRST Chesapeake District Championship,0
4472,2024chcmp,FIRST Chesapeake District Championship,0
449,2024chcmp,FIRST Chesapeake District Championship,1
4505,2024chcmp,FIRST Chesapeake District Championship,0
4541,2024chcmp,FIRST Chesapeake District Championship,1
4638,2024chcmp,FIRST Chesapeake District Championship,0
4821,2024chcmp,FIRST Chesapeake District Championship,0
5115,2024chcmp,FIRST Chesapeake District Championship,1
5243,2024chcmp,FIRST Chesapeake District Championship,0
5338,2024chcmp,FIRST Chesapeake District Championship,1
539,2024chcmp,FIRST Chesapeake District Championship,1
540,2024chcmp,FIRST Chesapeake District Championship,0
5549,2024chcmp,FIRST Chesapeake District Championship,1
5587,2024chcmp,FIRST Chesapeake District Championship,1
5724,2024chcmp,FIRST Chesapeake District Championship,0
5804,2024chcmp,FIRST Chesapeake District Championship,1
5830,2024chcmp,FIRST Chesapeake District Championship,0
5841,2024chcmp,FIRST Chesapeake District Championship,0
5954,2024chcmp,FIRST Chesapeake District Championship,0
611,2024chcmp,FIRST Chesapeake District Championship,0
612,2024chcmp,FIRST Chesapeake District Championship,0
614,2024chcmp,FIRST Chesapeake District Championship,1
617,2024chcmp,FIRST Chesapeake District Championship,0
6189,2024chcmp,FIRST Chesapeake District Championship,0
619,2024chcmp,FIRST Chesapeake District Championship,1
6194,2024chcmp,FIRST Chesapeake District Championship,0
620,2024chcmp,FIRST Chesapeake District Championship,1
6213,2024chcmp,FIRST Chesapeake District Championship,0
623,2024chcmp,FIRST Chesapeake District Championship,1
6326,2024chcmp,FIRST Chesapeake District Championship,1
6802,2024chcmp,FIRST Chesapeake District Championship,1
686,2024chcmp,FIRST Chesapeake District Championship,1
6863,2024chcmp,FIRST Chesapeake District Championship,0
6882,2024chcmp,FIRST Chesapeake District Championship,0
7770,2024chcmp,FIRST Chesapeake District Championship,0
7886,2024chcmp,FIRST Chesapeake District Championship,0
8230,2024chcmp,FIRST Chesapeake District Championship,1
8326,2024chcmp,FIRST Chesapeake District Championship,0
836,2024chcmp,FIRST Chesapeake District Championship,1
8514,2024chcmp,FIRST Chesapeake District Championship,0
8590,2024chcmp,FIRST Chesapeake District Championship,0
8592,2024chcmp,FIRST Chesapeake District Championship,1
8622,2024chcmp,FIRST Chesapeake District Championship,0
8726,2024chcmp,FIRST Chesapeake District Championship,0
888,2024chcmp,FIRST Chesapeake District Championship,1
9003,2024chcmp,FIRST Chesapeake District Championship,1
9033,2024chcmp,FIRST Chesapeake District Championship,0
9072,2024chcmp,FIRST Chesapeake District Championship,1
9235,2024chcmp,FIRST Chesapeake District Championship,0
9403,2024chcmp,FIRST Chesapeake District Championship,1
9709,2024chcmp,FIRST Chesapeake District Championship,1
977,2024chcmp,FIRST Chesapeake District Championship,0.945583
1,2024micmp,FIRST in Michigan State Championship,1
1023,2024micmp,FIRST in Michigan State Championship,0.722101
1025,2024micmp,FIRST in Michigan State Championship,1
107,2024micmp,FIRST in Michigan State Championship,1
1076,2024micmp,FIRST in Michigan State Championship,1
1188,2024micmp,FIRST in Michigan State Championship,0
1189,2024micmp,FIRST in Michigan State Championship,0.657632
123,2024micmp,FIRST in Michigan State Championship,0.389871
1250,2024micmp,FIRST in Michigan State Championship,1
1322,2024micmp,FIRST in Michigan State Championship,0
141,2024micmp,FIRST in Michigan State Championship,0
1481,2024micmp,FIRST in Michigan State Championship,0.474612
1502,2024micmp,FIRST in Michigan State Championship,1
1504,2024micmp,FIRST in Michigan State Championship,0
1506,2024micmp,FIRST in Michigan State Championship,0.354687
1528,2024micmp,FIRST in Michigan State Championship,0
1596,2024micmp,FIRST in Michigan State Championship,0.0645374
1684,2024micmp,FIRST in Michigan State Championship,0.289668
1701,2024micmp,FIRST in Michigan State Championship,1
1711,2024micmp,FIRST in Michigan State Championship,1
1718,2024micmp,FIRST in Michigan State Championship,1
1918,2024micmp,FIRST in Michigan State Championship,0
1940,2024micmp,FIRST in Michigan State Championship,0.102323
201,2024micmp,FIRST in Michigan State Championship,1
